estrategia,data,ticker,peso
EqualWeight,2018-12-03,GOAU4,0.007634
EqualWeight,2018-12-03,GOLL54,0.007634
EqualWeight,2018-12-03,GRND3,0.007634
EqualWeight,2018-12-03,HAGA4,0.007634
EqualWeight,2018-12-03,HBOR3,0.007634
EqualWeight,2018-12-03,HYPE3,0.007634
EqualWeight,2018-12-03,INEP4,0.007634
EqualWeight,2018-12-03,ISAE4,0.007634
EqualWeight,2018-12-03,ITSA3,0.007634
EqualWeight,2018-12-03,ITSA4,0.007634
EqualWeight,2018-12-03,ITUB3,0.007634
EqualWeight,2018-12-03,ITUB4,0.007634
EqualWeight,2018-12-03,JHSF3,0.007634
EqualWeight,2018-12-03,KEPL3,0.007634
EqualWeight,2018-12-03,KLBN4,0.007634
EqualWeight,2018-12-03,LAND3,0.007634
EqualWeight,2018-12-03,LIGT3,0.007634
EqualWeight,2018-12-03,LOGN3,0.007634
EqualWeight,2018-12-03,LPSB3,0.007634
EqualWeight,2018-12-03,LREN3,0.007634
EqualWeight,2018-12-03,LUPA3,0.007634
EqualWeight,2018-12-03,MBRF3,0.007634
EqualWeight,2018-12-03,MDIA3,0.007634
EqualWeight,2018-12-03,MOTV3,0.007634
EqualWeight,2018-12-03,MRVE3,0.007634
EqualWeight,2018-12-03,MULT3,0.007634
EqualWeight,2018-12-03,MYPK3,0.007634
EqualWeight,2018-12-03,NATU3,0.007634
EqualWeight,2018-12-03,NEXP3,0.007634
EqualWeight,2018-12-03,ODPV3,0.007634
EqualWeight,2018-12-03,OIBR3,0.007634
EqualWeight,2018-12-03,OIBR4,0.007634
EqualWeight,2018-12-03,PDGR3,0.007634
EqualWeight,2018-12-03,PDTC3,0.007634
EqualWeight,2018-12-03,PETR3,0.007634
EqualWeight,2018-12-03,PETR4,0.007634
EqualWeight,2018-12-03,PFRM3,0.007634
EqualWeight,2018-12-03,PINE4,0.007634
EqualWeight,2018-12-03,PMAM3,0.007634
EqualWeight,2018-12-03,POMO3,0.007634
EqualWeight,2018-12-03,POMO4,0.007634
EqualWeight,2018-12-03,POSI3,0.007634
EqualWeight,2018-12-03,PSSA3,0.007634
EqualWeight,2018-12-03,PTBL3,0.007634
EqualWeight,2018-12-03,RADL3,0.007634
EqualWeight,2018-12-03,RAPT4,0.007634
EqualWeight,2018-12-03,RCSL4,0.007634
EqualWeight,2018-12-03,RDNI3,0.007634
EqualWeight,2018-12-03,RENT3,0.007634
EqualWeight,2018-12-03,RIAA3,0.007634
EqualWeight,2018-12-03,ROMI3,0.007634
EqualWeight,2018-12-03,RPMG3,0.007634
EqualWeight,2018-12-03,RSID3,0.007634
EqualWeight,2018-12-03,SANB11,0.007634
EqualWeight,2018-12-03,SANB3,0.007634
EqualWeight,2018-12-03,SANB4,0.007634
EqualWeight,2018-12-03,SAPR4,0.007634
EqualWeight,2018-12-03,SBSP3,0.007634
EqualWeight,2018-12-03,SCAR3,0.007634
EqualWeight,2018-12-03,SHUL4,0.007634
EqualWeight,2018-12-03,SLCE3,0.007634
EqualWeight,2018-12-03,SMTO3,0.007634
EqualWeight,2018-12-03,TASA4,0.007634
EqualWeight,2018-12-03,TCSA3,0.007634
EqualWeight,2018-12-03,TELB4,0.007634
EqualWeight,2018-12-03,TGMA3,0.007634
EqualWeight,2018-12-03,TIMS3,0.007634
EqualWeight,2018-12-03,TOTS3,0.007634
EqualWeight,2018-12-03,TPIS3,0.007634
EqualWeight,2018-12-03,TRIS3,0.007634
EqualWeight,2018-12-03,TUPY3,0.007634
EqualWeight,2018-12-03,UNIP6,0.007634
EqualWeight,2018-12-03,USIM3,0.007634
EqualWeight,2018-12-03,USIM5,0.007634
EqualWeight,2018-12-03,VALE3,0.007634
EqualWeight,2018-12-03,VIVR3,0.007634
EqualWeight,2018-12-03,VIVT3,0.007634
EqualWeight,2018-12-03,VLID3,0.007634
EqualWeight,2018-12-03,VSTE3,0.007634
EqualWeight,2018-12-03,WEGE3,0.007634
EqualWeight,2018-12-03,WHRL4,0.007634
EqualWeight,2018-12-03,YDUQ3,0.007634
EqualWeight,2019-01-02,ABCB4,0.007634
EqualWeight,2019-01-02,ABEV3,0.007634
EqualWeight,2019-01-02,AGRO3,0.007634
EqualWeight,2019-01-02,ALPA4,0.007634
EqualWeight,2019-01-02,AMAR3,0.007634
EqualWeight,2019-01-02,AMER3,0.007634
EqualWeight,2019-01-02,AXIA3,0.007634
EqualWeight,2019-01-02,AXIA6,0.007634
EqualWeight,2019-01-02,B3SA3,0.007634
EqualWeight,2019-01-02,BBAS3,0.007634
EqualWeight,2019-01-02,BBDC3,0.007634
EqualWeight,2019-01-02,BBDC4,0.007634
EqualWeight,2019-01-02,BEEF3,0.007634
EqualWeight,2019-01-02,BEES3,0.007634
EqualWeight,2019-01-02,BRAP3,0.007634
EqualWeight,2019-01-02,BRAP4,0.007634
EqualWeight,2019-01-02,BRKM3,0.007634
EqualWeight,2019-01-02,BRKM5,0.007634
EqualWeight,2019-01-02,BRSR6,0.007634
EqualWeight,2019-01-02,CGAS5,0.007634
EqualWeight,2019-01-02,CLSC4,0.007634
EqualWeight,2019-01-02,CMIG3,0.007634
EqualWeight,2019-01-02,CMIG4,0.007634
EqualWeight,2019-01-02,COCE5,0.007634
EqualWeight,2019-01-02,CPFE3,0.007634
EqualWeight,2019-01-02,CPLE3,0.007634
EqualWeight,2019-01-02,CSAN3,0.007634
EqualWeight,2019-01-02,CSMG3,0.007634
EqualWeight,2019-01-02,CSNA3,0.007634
EqualWeight,2019-01-02,CSUD3,0.007634
EqualWeight,2019-01-02,CYRE3,0.007634
EqualWeight,2019-01-02,DIRR3,0.007634
EqualWeight,2019-01-02,DXCO3,0.007634
EqualWeight,2019-01-02,EGIE3,0.007634
EqualWeight,2019-01-02,EMBJ3,0.007634
EqualWeight,2019-01-02,ENEV3,0.007634
EqualWeight,2019-01-02,EQTL3,0.007634
EqualWeight,2019-01-02,ETER3,0.007634
EqualWeight,2019-01-02,EUCA4,0.007634
EqualWeight,2019-01-02,EVEN3,0.007634
EqualWeight,2019-01-02,EZTC3,0.007634
EqualWeight,2019-01-02,FESA4,0.007634
EqualWeight,2019-01-02,FHER3,0.007634
EqualWeight,2019-01-02,FICT3,0.007634
EqualWeight,2019-01-02,FLRY3,0.007634
EqualWeight,2019-01-02,GFSA3,0.007634
EqualWeight,2019-01-02,GGBR3,0.007634
EqualWeight,2019-01-02,GGBR4,0.007634
EqualWeight,2019-01-02,GOAU3,0.007634
EqualWeight,2019-01-02,GOAU4,0.007634
EqualWeight,2019-01-02,GOLL54,0.007634
EqualWeight,2019-01-02,GRND3,0.007634
EqualWeight,2019-01-02,HAGA4,0.007634
EqualWeight,2019-01-02,HBOR3,0.007634
EqualWeight,2019-01-02,HYPE3,0.007634
EqualWeight,2019-01-02,INEP4,0.007634
EqualWeight,2019-01-02,ISAE4,0.007634
EqualWeight,2019-01-02,ITSA3,0.007634
EqualWeight,2019-01-02,ITSA4,0.007634
EqualWeight,2019-01-02,ITUB3,0.007634
EqualWeight,2019-01-02,ITUB4,0.007634
EqualWeight,2019-01-02,JHSF3,0.007634
EqualWeight,2019-01-02,KEPL3,0.007634
EqualWeight,2019-01-02,KLBN4,0.007634
EqualWeight,2019-01-02,LAND3,0.007634
EqualWeight,2019-01-02,LIGT3,0.007634
EqualWeight,2019-01-02,LOGN3,0.007634
EqualWeight,2019-01-02,LPSB3,0.007634
EqualWeight,2019-01-02,LREN3,0.007634
EqualWeight,2019-01-02,LUPA3,0.007634
EqualWeight,2019-01-02,MBRF3,0.007634
EqualWeight,2019-01-02,MDIA3,0.007634
EqualWeight,2019-01-02,MOTV3,0.007634
EqualWeight,2019-01-02,MRVE3,0.007634
EqualWeight,2019-01-02,MULT3,0.007634
EqualWeight,2019-01-02,MYPK3,0.007634
EqualWeight,2019-01-02,NATU3,0.007634
EqualWeight,2019-01-02,NEXP3,0.007634
EqualWeight,2019-01-02,ODPV3,0.007634
EqualWeight,2019-01-02,OIBR3,0.007634
EqualWeight,2019-01-02,OIBR4,0.007634
EqualWeight,2019-01-02,PDGR3,0.007634
EqualWeight,2019-01-02,PDTC3,0.007634
EqualWeight,2019-01-02,PETR3,0.007634
EqualWeight,2019-01-02,PETR4,0.007634
EqualWeight,2019-01-02,PFRM3,0.007634
EqualWeight,2019-01-02,PINE4,0.007634
EqualWeight,2019-01-02,PMAM3,0.007634
EqualWeight,2019-01-02,POMO3,0.007634
EqualWeight,2019-01-02,POMO4,0.007634
EqualWeight,2019-01-02,POSI3,0.007634
EqualWeight,2019-01-02,PSSA3,0.007634
EqualWeight,2019-01-02,PTBL3,0.007634
EqualWeight,2019-01-02,RADL3,0.007634
EqualWeight,2019-01-02,RAPT4,0.007634
EqualWeight,2019-01-02,RCSL4,0.007634
EqualWeight,2019-01-02,RDNI3,0.007634
EqualWeight,2019-01-02,RENT3,0.007634
EqualWeight,2019-01-02,RIAA3,0.007634
EqualWeight,2019-01-02,ROMI3,0.007634
EqualWeight,2019-01-02,RPMG3,0.007634
EqualWeight,2019-01-02,RSID3,0.007634
