data,ibov_ret_simples,ibov_ret_log
2012-04-27,-0.00814897,-0.00818235
2012-04-30,0.00209187,0.00208969
2012-05-02,0.00975894,0.00971163
2012-05-03,-0.00511682,-0.00512995
2012-05-04,-0.02066239,-0.02087884
2012-05-07,0.00656846,0.00654698
2012-05-08,-0.01396511,-0.01406354
2012-05-09,-0.00959754,-0.00964389
2012-05-10,-0.00140618,-0.00140717
2012-05-11,-0.00430203,-0.00431131
2012-05-14,-0.03205641,-0.03258147
2012-05-15,-0.02262163,-0.02288143
2012-05-16,-0.00623067,-0.00625016
2012-05-17,-0.03309090,-0.03365079
2012-05-18,0.00878934,0.00875094
2012-05-21,0.03810236,0.03739439
2012-05-22,-0.02741621,-0.02779905
2012-05-23,-0.00761772,-0.00764689
2012-05-24,-0.01018831,-0.01024056
2012-05-25,0.00740174,0.00737448
2012-05-28,0.01376215,0.01366831
2012-05-29,-0.01049813,-0.01055362
2012-05-30,-0.01528653,-0.01540458
2012-05-31,0.01287225,0.01279010
2012-06-01,-0.01995782,-0.02015967
2012-06-04,0.00025935,0.00025932
2012-06-05,-0.01750968,-0.01766478
2012-06-06,0.03190842,0.03140993
2012-06-08,0.00505595,0.00504321
2012-06-11,-0.00787068,-0.00790182
2012-06-12,0.01939911,0.01921334
2012-06-13,0.01092626,0.01086700
2012-06-14,-0.00536994,-0.00538441
2012-06-15,0.01360429,0.01351258
2012-06-18,0.00161341,0.00161211
2012-06-19,0.01780009,0.01764353
2012-06-20,-0.00050598,-0.00050611
2012-06-21,-0.02906210,-0.02949277
2012-06-22,-0.00118313,-0.00118383
2012-06-25,-0.02947573,-0.02991887
2012-06-26,0.00057968,0.00057951
2012-06-27,-0.01351572,-0.01360789
2012-06-28,-0.00859893,-0.00863611
2012-06-29,0.03233252,0.03182083
2012-07-02,0.00622137,0.00620209
2012-07-03,0.01988434,0.01968923
2012-07-04,0.00531549,0.00530142
2012-07-05,0.00538975,0.00537528
2012-07-06,-0.01747120,-0.01762563
2012-07-10,-0.03047674,-0.03095081
2012-07-11,-0.00254498,-0.00254822
2012-07-12,-0.00276782,-0.00277166
2012-07-13,0.01702780,0.01688445
2012-07-16,-0.01709371,-0.01724149
2012-07-17,0.00950661,0.00946170
2012-07-18,0.01249613,0.01241870
2012-07-19,0.01398820,0.01389127
2012-07-20,-0.02081174,-0.02103136
2012-07-23,-0.02141959,-0.02165232
2012-07-24,-0.00745428,-0.00748220
2012-07-25,-0.00059063,-0.00059081
2012-07-26,0.02652053,0.02617496
2012-07-27,0.04722725,0.04614596
2012-07-30,0.01216202,0.01208865
2012-07-31,-0.01998343,-0.02018580
2012-08-01,0.00347398,0.00346796
2012-08-02,-0.01370587,-0.01380066
2012-08-03,0.03124653,0.03076830
2012-08-06,0.01902691,0.01884816
2012-08-07,-0.01060852,-0.01066519
2012-08-08,0.02122661,0.02100446
2012-08-09,-0.00260980,-0.00261321
2012-08-10,0.00822829,0.00819462
2012-08-13,-0.00266848,-0.00267205
2012-08-14,-0.01758748,-0.01774398
2012-08-15,0.00183118,0.00182950
2012-08-16,0.02159350,0.02136366
2012-08-17,-0.00611347,-0.00613223
2012-08-20,0.00339729,0.00339153
2012-08-21,-0.00616297,-0.00618204
2012-08-22,0.00785892,0.00782820
2012-08-23,-0.01463791,-0.01474610
2012-08-24,-0.00146621,-0.00146728
